name,website,root_domain,federal_state,profil,domain,mx_records,ips,asn,smtp_banner
Rathaus Löwenstein,https://www.stadt-loewenstein.de/,stadt-loewenstein.de,Baden-Wuerttemberg,rathaus,stadt-loewenstein.de,"['mx9.kvnbw.de', 'mx8.kvnbw.de', 'mx6.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Weikersheim,https://www.weikersheim.de,weikersheim.de,Baden-Wuerttemberg,rathaus,weikersheim.de,"['mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx7.kvnbw.de', 'mx9.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Neckarwestheim,https://www.neckarwestheim.de,neckarwestheim.de,Baden-Wuerttemberg,rathaus,neckarwestheim.de,"['mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx9.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Waldhausen,http://stadt-lorch.de,stadt-lorch.de,Baden-Wuerttemberg,rathaus,stadt-lorch.de,"['mx7.kvnbw.de', 'mx9.kvnbw.de', 'mx8.kvnbw.de', 'mx6.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Wäschenbeuren,https://www.waeschenbeuren.de/,waeschenbeuren.de,Baden-Wuerttemberg,rathaus,waeschenbeuren.de,"['mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx7.kvnbw.de', 'mx9.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Heiligenberg,https://www.heiligenberg.de/de/buerger/rathaus-service/virtuelles-rathaus/kontakt-oeffnungszeiten,heiligenberg.de,Baden-Wuerttemberg,rathaus,heiligenberg.de,"['mx6.kvnbw.de', 'mx8.kvnbw.de', 'mx9.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Rathaus,https://www.wertheim.de,wertheim.de,Baden-Wuerttemberg,rathaus,wertheim.de,"['mx8.kvnbw.de', 'mx6.kvnbw.de', 'mx7.kvnbw.de', 'mx9.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n']"
Ortsverwaltung Gundershofen,https://www.schelklingen.de/stadtteile-erleben/gundershofen/ortsverwaltung-ortschaftsrat,schelklingen.de,Baden-Wuerttemberg,rathaus,schelklingen.de,"['mx9.kvnbw.de', 'mx8.kvnbw.de', 'mx6.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Verwaltungsstelle Riet,https://www.vaihingen.de/d/1971,vaihingen.de,Baden-Wuerttemberg,rathaus,vaihingen.de,"['mx9.kvnbw.de', 'mx8.kvnbw.de', 'mx6.kvnbw.de', 'mx7.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx7.kvnbw.de ESMTP Postfix\r\n']"
Rathaus Wittnau,https://www.wittnau.de/,wittnau.de,Baden-Wuerttemberg,rathaus,wittnau.de,"['mx7.kvnbw.de', 'mx6.kvnbw.de', 'mx9.kvnbw.de', 'mx8.kvnbw.de']","['194.0.94.48', '194.59.36.34', '194.59.36.35', '194.0.94.49']","[{'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KIVBF'}, {'asn': '50964', 'asn_org': 'KOMM-ONE-AS, DE', 'network': 'KDRS'}]","['220 mx7.kvnbw.de ESMTP Postfix\r\n', '220 mx6.kvnbw.de ESMTP Postfix\r\n', '220 mx9.kvnbw.de ESMTP Postfix\r\n', '220 mx8.kvnbw.de ESMTP Postfix\r\n']"
